,MD,Well
52,6038.912727272727,GRIFFIN 1
53,6055.042272727273,GRIFFIN 1
54,6071.171818181818,GRIFFIN 1
55,6087.301363636363,GRIFFIN 1
56,6103.430909090908,GRIFFIN 1
57,6119.560454545454,GRIFFIN 1
58,6135.69,GRIFFIN 1
59,6149.748333333333,GRIFFIN 1
60,6163.806666666666,GRIFFIN 1
61,6177.865,GRIFFIN 1
62,6191.923333333333,GRIFFIN 1
63,6205.981666666667,GRIFFIN 1
64,6220.04,GRIFFIN 1
65,6234.511666666666,GRIFFIN 1
66,6248.983333333334,GRIFFIN 1
67,6263.455,GRIFFIN 1
68,6277.926666666666,GRIFFIN 1
69,6292.3983333333335,GRIFFIN 1
70,6306.87,GRIFFIN 1
71,6321.341666666666,GRIFFIN 1
72,6335.8133333333335,GRIFFIN 1
73,6350.285,GRIFFIN 1
74,6364.756666666666,GRIFFIN 1
75,6379.2283333333335,GRIFFIN 1
76,6393.7,GRIFFIN 1
77,6408.171666666666,GRIFFIN 1
78,6422.643333333333,GRIFFIN 1
79,6437.115,GRIFFIN 1
80,6451.586666666666,GRIFFIN 1
81,6466.058333333333,GRIFFIN 1
82,6480.53,GRIFFIN 1
83,6495.82625,GRIFFIN 1
84,6511.1224999999995,GRIFFIN 1
85,6526.41875,GRIFFIN 1
86,6541.715,GRIFFIN 1
87,6557.01125,GRIFFIN 1
88,6572.3075,GRIFFIN 1
89,6587.603749999999,GRIFFIN 1
90,6602.9,GRIFFIN 1
91,6615.358235294118,GRIFFIN 1
92,6627.816470588235,GRIFFIN 1
93,6640.2747058823525,GRIFFIN 1
94,6652.73294117647,GRIFFIN 1
95,6665.191176470588,GRIFFIN 1
96,6677.649411764705,GRIFFIN 1
97,6690.107647058823,GRIFFIN 1
98,6702.565882352941,GRIFFIN 1
99,6715.024117647058,GRIFFIN 1
100,6727.482352941176,GRIFFIN 1
101,6739.940588235294,GRIFFIN 1
