Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2772.289736,1,0,0,0,0,9095.439056
PEL_NQ_APO-1001A,2772.313043,0,1,0,0,0,9095.515524
PEL_NQ_APO-1001A,2772.435205,0,0,1,0,0,9095.916318
PEL_NQ_APO-1001A,2772.960207,0,0,0,1,0,9097.638767
PEL_NQ_APO-1001A,2772.997286,3,0,0,0,0,9097.760416
PEL_NQ_APO-1001A,2773.123174,1,0,0,0,0,9098.173434
PEL_NQ_APO-1001A,2773.146863,0,1,0,0,0,9098.251155
PEL_NQ_APO-1001A,2773.271028,0,0,1,0,0,9098.65852
PEL_NQ_APO-1001A,2773.659516,0,0,0,2,0,9099.933088
PEL_NQ_APO-1001A,2773.801805,3,0,0,0,0,9100.399913
PEL_NQ_APO-1001A,2773.956612,1,0,0,0,0,9100.907811
PEL_NQ_APO-1001A,2773.980684,0,1,0,0,0,9100.986787
PEL_NQ_APO-1001A,2774.106851,0,0,1,0,0,9101.400722
PEL_NQ_APO-1001A,2774.216554,0,0,0,1,0,9101.760639
PEL_NQ_APO-1001A,2774.606324,3,0,0,0,0,9103.039411
PEL_NQ_APO-1001A,2774.79005,1,0,0,0,0,9103.642189
PEL_NQ_APO-1001A,2774.814504,0,1,0,0,0,9103.722418
PEL_NQ_APO-1001A,2774.942674,0,0,1,0,0,9104.142923
PEL_NQ_APO-1001A,2775.410842,3,0,0,0,0,9105.678908
PEL_NQ_APO-1001A,2775.4729,0,0,0,1,0,9105.882511
PEL_NQ_APO-1001A,2775.623489,1,0,0,0,0,9106.376567
PEL_NQ_APO-1001A,2775.648325,0,1,0,0,0,9106.458049
PEL_NQ_APO-1001A,2775.778497,0,0,1,0,0,9106.885125
PEL_NQ_APO-1001A,2776.215361,3,0,0,0,0,9108.318406
PEL_NQ_APO-1001A,2776.456927,1,0,0,0,0,9109.110944
PEL_NQ_APO-1001A,2776.482145,0,1,0,0,0,9109.19368
PEL_NQ_APO-1001A,2776.61432,0,0,1,0,0,9109.627327
PEL_NQ_APO-1001A,2776.729247,0,0,0,1,0,9110.004383
PEL_NQ_APO-1001A,2777.01988,3,0,0,0,0,9110.957904
PEL_NQ_APO-1001A,2777.290365,1,0,0,0,0,9111.845322
PEL_NQ_APO-1001A,2777.315965,0,1,0,0,0,9111.929312
PEL_NQ_APO-1001A,2777.450143,0,0,1,0,0,9112.369528
PEL_NQ_APO-1001A,2777.824399,3,0,0,0,0,9113.597401
PEL_NQ_APO-1001A,2777.985593,0,0,0,1,0,9114.126255
